,jacc_distance
0,0.34615384615384615
1,0.9230769230769231
2,0.3913043478260869
3,0.5454545454545454
4,1.0
5,0.33333333333333337
6,0.33333333333333337
7,0.8
8,0.31818181818181823
9,0.6363636363636364
10,0.36363636363636365
11,0.6
12,0.5555555555555556
13,0.4
14,0.2777777777777778
15,1.0
16,0.30434782608695654
17,0.5652173913043479
18,0.6
19,0.5714285714285714
20,0.3529411764705882
21,1.0
22,0.2941176470588235
23,1.0
24,1.0
25,0.40909090909090906
26,0.40909090909090906
27,0.25
28,0.4
29,0.5333333333333333
30,0.3125
31,0.4285714285714286
32,0.375
33,0.4117647058823529
34,0.47058823529411764
35,0.5
36,0.2727272727272727
37,0.4285714285714286
38,1.0
39,0.5
40,0.4444444444444444
41,1.0
42,0.6428571428571428
43,0.34782608695652173
44,0.4375
45,0.5
46,0.6
47,0.37037037037037035
48,1.0
49,0.875
50,1.0
51,0.625
52,0.36363636363636365
53,0.33333333333333337
54,0.38095238095238093
55,0.5
56,0.5555555555555556
57,0.19999999999999996
58,0.7222222222222222
59,1.0
60,0.5
61,0.6666666666666667
62,0.375
63,0.5
64,0.4545454545454546
65,0.34782608695652173
66,0.6
67,0.6
68,0.36363636363636365
69,0.631578947368421
70,0.5
71,0.3928571428571429
72,0.6428571428571428
73,0.25
74,0.7222222222222222
75,1.0
76,0.33333333333333337
77,1.0
78,0.7
79,0.38888888888888884
80,0.375
81,0.5333333333333333
82,0.4285714285714286
83,1.0
84,0.4285714285714286
85,1.0
86,0.5
87,0.4
88,0.7142857142857143
89,1.0
90,0.5555555555555556
91,0.5555555555555556
92,0.23529411764705888
93,0.6
94,0.2857142857142857
95,0.5
96,0.4
97,0.5333333333333333
98,0.7222222222222222
99,0.40909090909090906
100,0.2727272727272727
101,0.4375
102,1.0
103,0.5
104,0.5555555555555556
105,0.3571428571428571
106,0.368421052631579
107,1.0
108,0.5
109,0.38095238095238093
110,0.47058823529411764
111,0.9
112,1.0
113,0.4285714285714286
114,0.5652173913043479
115,1.0
116,0.33333333333333337
117,0.9
118,0.29166666666666663
119,0.4782608695652174
120,0.625
121,0.7222222222222222
122,0.5
123,0.7142857142857143
124,0.5555555555555556
125,0.6
126,0.19999999999999996
127,0.5416666666666667
128,0.4285714285714286
129,0.4
130,0.7222222222222222
131,0.25
132,0.6428571428571428
133,0.33333333333333337
134,0.31818181818181823
135,0.9
136,0.4285714285714286
137,0.4545454545454546
138,0.6
139,0.5
140,1.0
141,0.5384615384615384
142,0.29166666666666663
143,1.0
144,0.35
145,0.875
146,0.30000000000000004
147,0.26315789473684215
148,0.38095238095238093
149,0.19999999999999996
150,0.33333333333333337
151,0.5555555555555556
152,0.8
153,0.5555555555555556
154,0.6086956521739131
155,0.33333333333333337
156,0.30000000000000004
157,0.4
158,0.1578947368421053
159,1.0
160,0.2666666666666667
161,0.30000000000000004
162,0.25
163,0.5555555555555556
164,0.29166666666666663
165,0.52
166,0.4736842105263158
167,0.41666666666666663
168,1.0
169,0.3076923076923077
170,0.5
171,0.5
172,0.18181818181818177
173,0.3157894736842105
174,0.29166666666666663
175,0.4444444444444444
176,0.2857142857142857
177,0.40909090909090906
178,0.1578947368421053
179,0.33333333333333337
180,1.0
181,0.5
182,0.38095238095238093
183,0.2727272727272727
184,0.4444444444444444
185,0.4347826086956522
186,0.9
187,0.38888888888888884
188,0.368421052631579
189,0.8333333333333334
190,0.5
191,1.0
192,1.0
193,0.5
194,0.52
195,0.2857142857142857
196,0.55
197,0.6363636363636364
198,0.8461538461538461
199,1.0
200,0.7222222222222222
201,1.0
202,0.4347826086956522
203,1.0
204,0.5
205,0.29166666666666663
206,0.3157894736842105
207,0.5333333333333333
208,0.2727272727272727
209,0.5555555555555556
210,0.5555555555555556
211,0.4285714285714286
212,0.2941176470588235
213,0.46153846153846156
214,0.26315789473684215
215,0.5333333333333333
216,1.0
217,0.35
218,0.368421052631579
219,0.36363636363636365
220,0.23076923076923073
221,0.1875
222,0.375
223,0.35
224,1.0
